"FL-TMS 2.0 – Future Level Traffic Management System  |  Agile Gantt Chart  |  Jan 1, 2026 – Apr 20, 2026  (110 Days)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task / Phase,Dur.,Start Date,End Date,Sprint,Status,January 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2026,,,,,,,,,,,,,,,,,,,,Status,Sprint,End Date,Start Date,Dur.,Task / Phase
,,,,,,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,,,,,,
Sprint 3: E-Challan Management,14d,05-02-2026,18-02-2026,Sprint 3,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint 3: E-Challan Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Sprint 3,18-02-2026,05-02-2026,14d,Sprint 3: E-Challan Management
  RTO Database Integration,3d,05-02-2026,07-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,07-02-2026,05-02-2026,3d,  RTO Database Integration
  Vehicle Verification Module,2d,08-02-2026,09-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,09-02-2026,08-02-2026,2d,  Vehicle Verification Module
  E-Challan Generation Engine,3d,10-02-2026,12-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,12-02-2026,10-02-2026,3d,  E-Challan Generation Engine
  Challan PDF Generation,2d,13-02-2026,14-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,14-02-2026,13-02-2026,2d,  Challan PDF Generation
  SMS/Email Notification System,2d,15-02-2026,16-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,16-02-2026,15-02-2026,2d,  SMS/Email Notification System
  Challan Status Management,2d,17-02-2026,18-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,18-02-2026,17-02-2026,2d,  Challan Status Management
Sprint 4: Payment Integration,14d,19-02-2026,04-03-2026,Sprint 4,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint 4: Payment Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Sprint 4,04-03-2026,19-02-2026,14d,Sprint 4: Payment Integration
  Payment Gateway API Integration,3d,19-02-2026,21-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,21-02-2026,19-02-2026,3d,  Payment Gateway API Integration
  Online Payment Module (Citizen),3d,22-02-2026,24-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,24-02-2026,22-02-2026,3d,  Online Payment Module (Citizen)
  Payment Verification & Callback,2d,25-02-2026,26-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,26-02-2026,25-02-2026,2d,  Payment Verification & Callback
  Receipt Generation System,2d,27-02-2026,28-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,28-02-2026,27-02-2026,2d,  Receipt Generation System
  Refund Processing Module,2d,01-03-2026,02-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,02-03-2026,01-03-2026,2d,  Refund Processing Module
  Payment History & Reports,2d,03-03-2026,04-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,04-03-2026,03-03-2026,2d,  Payment History & Reports
Sprint 5: Dashboards & Analytics,14d,05-03-2026,18-03-2026,Sprint 5,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint 5: Dashboards & Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Sprint 5,18-03-2026,05-03-2026,14d,Sprint 5: Dashboards & Analytics
  Admin Dashboard UI Design,2d,05-03-2026,06-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,06-03-2026,05-03-2026,2d,  Admin Dashboard UI Design
  Real-Time Analytics Implementation,3d,07-03-2026,09-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,09-03-2026,07-03-2026,3d,  Real-Time Analytics Implementation
  Officer Dashboard Development,3d,10-03-2026,12-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,12-03-2026,10-03-2026,3d,  Officer Dashboard Development
  Citizen Portal Development,3d,13-03-2026,15-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,15-03-2026,13-03-2026,3d,  Citizen Portal Development
  Report Generation Module,2d,16-03-2026,17-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,17-03-2026,16-03-2026,2d,  Report Generation Module
  Mobile App Development,1d,18-03-2026,18-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,18-03-2026,18-03-2026,1d,  Mobile App Development
Sprint 6: Testing & Deployment,14d,19-03-2026,01-04-2026,Sprint 6,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint 6: Testing & Deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Sprint 6,01-04-2026,19-03-2026,14d,Sprint 6: Testing & Deployment
  Unit Testing (All Modules),3d,19-03-2026,21-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,21-03-2026,19-03-2026,3d,  Unit Testing (All Modules)
  Integration Testing,3d,22-03-2026,24-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,24-03-2026,22-03-2026,3d,  Integration Testing
  User Acceptance Testing (UAT),3d,25-03-2026,27-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,27-03-2026,25-03-2026,3d,  User Acceptance Testing (UAT)
  Bug Fixes & Optimization,2d,28-03-2026,29-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,29-03-2026,28-03-2026,2d,  Bug Fixes & Optimization
  Production Deployment,2d,30-03-2026,31-03-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,31-03-2026,30-03-2026,2d,  Production Deployment
  Documentation & Training,1d,01-04-2026,01-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,01-04-2026,01-04-2026,1d,  Documentation & Training
Buffer & Final Review,19d,02-04-2026,20-04-2026,Buffer,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buffer & Final Review,,,,,,,,,,,,,,,,,,,Complete,Buffer,20-04-2026,02-04-2026,19d,Buffer & Final Review
  System Performance Review,1d,02-04-2026,02-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,02-04-2026,02-04-2026,1d,  System Performance Review
  Stakeholder Demo,1d,03-04-2026,03-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,03-04-2026,03-04-2026,1d,  Stakeholder Demo
  Final Documentation,1d,04-04-2026,04-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,04-04-2026,04-04-2026,1d,  Final Documentation
  Project Closure,1d,05-04-2026,05-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,05-04-2026,05-04-2026,1d,  Project Closure
  Post-Launch Monitoring,5d,06-04-2026,10-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,10-04-2026,06-04-2026,5d,  Post-Launch Monitoring
  Bug Fixes & Hotfixes,3d,11-04-2026,13-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,13-04-2026,11-04-2026,3d,  Bug Fixes & Hotfixes
  User Feedback Collection,3d,14-04-2026,16-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,16-04-2026,14-04-2026,3d,  User Feedback Collection
  System Handover & Sign-Off,2d,17-04-2026,18-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,18-04-2026,17-04-2026,2d,  System Handover & Sign-Off
  Final Project Report Submission,2d,19-04-2026,20-04-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,20-04-2026,19-04-2026,2d,  Final Project Report Submission
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,  Sprint Header,,,,,,,,,,  Dev / Backend Task,,,,,,,,,,,,  UI / Design Task,,,,,,,,,,,,  Buffer Phase,,,,,,,,,,  Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FL-TMS 2.0  |  Prepared by: Saiyed Sarafat  |  Jan 1 – Apr 5, 2026",,,,,
